id_partner,statement_date,statement_nr,marketplace,order_nr,item_nr,brand_en,product_title_en,brand_ar,product_title_ar,awb_nr,sku,partner_sku,fee_name,item_status,ordered_date,shipped_date,delivered_date,currency_code,net_proceeds,referral_fee,fbn_outbound_fee,noon_markup,noon_promo,shipping_fee,other_amounts,total_payment
38594,2024-11-13,PS-38594-AE20241113,noon,,,,,,,,,,Advertising Fee,shipped,,,,AED,0.0,0.0,0.0,0,0.0,0.0,-40.25,-40.25
38594,2024-11-13,PS-38594-AE20241113,noon,,,,,,,,,,VAT Payable,shipped,,,,AED,0.0,0.0,0.0,0,0.0,0.0,-14.97,-14.97
38594,2024-11-13,PS-38594-AE20241113,noon,,,,,,,,,,Non-saleable Item Storage Fee,shipped,,,,AED,0.0,0.0,0.0,0,0.0,0.0,-3.6042,-3.6042
38594,2024-11-13,PS-38594-AE20241113,noon,NAEGB0064332875,NAEGB0064332875-1,Lenovo,"Renewed - Thinkpad T440 Laptop With 14-Inch Display,Intel Core i5 Processor/4th GEN/8GB RAM/256GB SSD/Windows 10 black",لينوفو,تم تجديده - كمبيوتر محمول Thinkpad T440 بشاشة مقاس 14 بوصة، ومعالج Intel Core i5/الجيل الرابع/ذاكرة وصول عشوائي سعة 8 جيجابايت/محرك أقراص ثابتة سعة 500 جيجابايت/نظام تشغيل Windows,PF95984590528A,N46137174A,46137174,Order,delivered,11/6/2024,11/6/2024,11/6/2024,AED,331.0,-36.41,-13.5,0,0.0,0.0,0.0,281.09
38594,2024-11-13,PS-38594-AE20241113,noon,NAEGB0023661785,NAEGB0023661785-1,Lenovo,"Renewed - Thinkpad T440 Laptop With 14-Inch Display,Intel Core i5 Processor/4th GEN/8GB RAM/256GB SSD/Windows 10 black",لينوفو,تم تجديده - كمبيوتر محمول Thinkpad T440 بشاشة مقاس 14 بوصة، ومعالج Intel Core i5/الجيل الرابع/ذاكرة وصول عشوائي سعة 8 جيجابايت/محرك أقراص ثابتة سعة 500 جيجابايت/نظام تشغيل Windows,PF94423840885A,N46137174A,46137174,Order,delivered,11/8/2024,11/9/2024,11/10/2024,AED,315.0,-34.65,-13.5,0,0.0,0.0,0.0,266.85
38594,2024-11-13,PS-38594-AE20241113,noon,NAEGB0015036025,NAEGB0015036025-1,Lenovo,"Renewed - Thinkpad T440 Laptop With 14-Inch Display,Intel Core i5 Processor/4th GEN/8GB RAM/256GB SSD/Windows 10 black",لينوفو,تم تجديده - كمبيوتر محمول Thinkpad T440 بشاشة مقاس 14 بوصة، ومعالج Intel Core i5/الجيل الرابع/ذاكرة وصول عشوائي سعة 8 جيجابايت/محرك أقراص ثابتة سعة 500 جيجابايت/نظام تشغيل Windows,PF95471513770A,N46137174A,46137174,Order,delivered,11/12/2024,11/12/2024,11/13/2024,AED,0.0,0.0,-13.5,0,0.0,0.0,0.0,-13.5
38594,2024-11-13,PS-38594-AE20241113,noon,NAEGB0050301440,NAEGB0050301440-1,Lenovo,"Renewed - Thinkpad T440 Laptop With 14-Inch Display,Intel Core i5 Processor/4th GEN/8GB RAM/256GB SSD/Windows 10 black",لينوفو,تم تجديده - كمبيوتر محمول Thinkpad T440 بشاشة مقاس 14 بوصة، ومعالج Intel Core i5/الجيل الرابع/ذاكرة وصول عشوائي سعة 8 جيجابايت/محرك أقراص ثابتة سعة 500 جيجابايت/نظام تشغيل Windows,PFA8216259921A,N46137174A,46137174,Order,delivered,11/11/2024,11/11/2024,11/12/2024,AED,315.0,-34.65,-13.5,0,0.0,0.0,0.0,266.85
38594,2024-11-13,PS-38594-AE20241113,noon,NAEGB0058475633,NAEGB0058475633-1,Lenovo,"Renewed - Thinkpad T440 Laptop With 14-Inch Display,Intel Core i5 Processor/4th GEN/8GB RAM/256GB SSD/Windows 10 black",لينوفو,تم تجديده - كمبيوتر محمول Thinkpad T440 بشاشة مقاس 14 بوصة، ومعالج Intel Core i5/الجيل الرابع/ذاكرة وصول عشوائي سعة 8 جيجابايت/محرك أقراص ثابتة سعة 500 جيجابايت/نظام تشغيل Windows,PFA3343074855A,N46137174A,46137174,Order,delivered,11/12/2024,11/12/2024,11/13/2024,AED,0.0,0.0,-13.5,0,0.0,0.0,0.0,-13.5
38594,2024-11-13,PS-38594-AE20241113,noon,NAEGB0046601121,NAEGB0046601121-1,Lenovo,"Renewed - ThinkPad T470 Laptop With 14-Inch Display,Intel Corei5 Processor/6th Gen/8GB RAM/256GB SSD/Intel HD Graphics Black",لينوفو,مُجدد - لابتوب ثينك باد T470 بشاشة مقاس 14 بوصة ومعالج إنتل كور i5 من الجيل السادس ومزود بذاكرة رام سعة 8 جيجابايت ومحرك أقراص SSD سعة 256 جيجابايت وبطاقة رسومات إنتل بدقة عالية الوضوح أسود,PF94590869259A,N49798236A,49798236,Order,returned,11/11/2024,11/11/2024,11/12/2024,AED,449.2,-49.412,-11.5,0,0.0,0.0,0.0,388.288
38594,2024-11-13,PS-38594-AE20241113,noon,NAEGB0066331662,NAEGB0066331662-2,Lenovo,"Refurbished - Thinkpad T450 Notebook Laptop With 14-Inch Display,Intel Core i5 Processor/5th Gen/16GB RAM/256GB SSD/Intel HD Graphics 5550 English Black",لينوفو,مستعمل ومجدد - لابتوب نوت بوك ثينك باد T450 (2015) بشاشة مقاس 14 بوصة ومعالج إنتل كور i5/ الجيل الخامس/ ذاكرة رام سعة 16 جيجابايت/ محرك أقراص SSD سعة 240 جيجابايت/ بطاقة رسومات إنتل 5550 عالية الوضوح سعة 1 جيجابايت اللغة الإنجليزية أسود,PF15172904373A,N51438096A,51438096,Order,delivered,11/8/2024,11/9/2024,11/9/2024,AED,365.0,-40.15,-11.5,0,0.0,0.0,0.0,313.35
